Type	Term	ReplacedTerm (if singular)	Relevant Pattern Doc	Related / Contextual Terms	
ObjectProperty	http://id.loc.gov/ontologies/bibframe/shelfMark	bf:identifiedBy			
ObjectProperty	http://id.loc.gov/ontologies/bibframe/source	bf:hasSource			
Class	http://id.loc.gov/ontologies/bibframe/Source	bf:Work			
ObjectProperty	http://id.loc.gov/ontologies/bibframe/splitInto	rdau:P60503	Relations		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/subject	dcterms:subject			
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/subtitle	dcterms:hasPart	Title	bib:SubtitleElement	
ObjectProperty	http://id.loc.gov/ontologies/bibframe/succeededBy	rdau:P60278	Relations		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/summary	bib:summarizing	Notes & Annotations	http://www.w3.org/ns/oa#Motivation	
Class	http://id.loc.gov/ontologies/bibframe/Summary		Notes & Annotations	http://www.w3.org/ns/oa#Motivation	
ObjectProperty	http://id.loc.gov/ontologies/bibframe/tableOfContents	bib:linkingTableOfContents	Notes & Annotations	http://www.w3.org/ns/oa#Motivation	
Class	http://id.loc.gov/ontologies/bibframe/TableOfContents		Notes & Annotations	http://www.w3.org/ns/oa#Motivation	
Class	http://id.loc.gov/ontologies/bibframe/Tactile	bib:Tactile			
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/temporalCoverage	bib:covers			
Class	http://id.loc.gov/ontologies/bibframe/Topic				
ObjectProperty	http://id.loc.gov/ontologies/bibframe/translation	rdau:P60280	Relations		
ObjectProperty	http://id.loc.gov/ontologies/bibframe/translationOf	rdau:P60244	Relations		
Class	http://id.loc.gov/ontologies/bibframe/VariantTitle	bf:Title	Title		
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/variantType	bf:title	Title		
DatatypeProperty	http://id.loc.gov/ontologies/bibframe/version				
Class	http://id.loc.gov/ontologies/bibframe/WorkTitle	bf:Title	Title	bf:Work	
