http://www.w3.org/1999/02/22-rdf-syntax-ns#type	BIBFRAME	bibliotek-o usage
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Identifier	http://id.loc.gov/ontologies/bibframe/Identifier
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Illustration	http://id.loc.gov/ontologies/bibframe/Illustration
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Instance	http://id.loc.gov/ontologies/bibframe/Instance
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/IntendedAudience	http://id.loc.gov/ontologies/bibframe/IntendedAudience
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Isan	http://id.loc.gov/ontologies/bibframe/Isan
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Isbn	http://id.loc.gov/ontologies/bibframe/Isbn
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Ismn	http://id.loc.gov/ontologies/bibframe/Ismn
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Isni	http://id.loc.gov/ontologies/bibframe/Isni
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Iso	http://id.loc.gov/ontologies/bibframe/Iso
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Isrc	http://id.loc.gov/ontologies/bibframe/Isrc
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Issn	http://id.loc.gov/ontologies/bibframe/Issn
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/IssnL	http://id.loc.gov/ontologies/bibframe/IssnL
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Issuance	http://id.loc.gov/ontologies/bibframe/Issuance
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Istc	http://id.loc.gov/ontologies/bibframe/Istc
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Iswc	http://id.loc.gov/ontologies/bibframe/Iswc
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Item	http://id.loc.gov/ontologies/bibframe/Item
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Jurisdiction	http://id.loc.gov/ontologies/bibframe/Jurisdiction
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Layout	http://id.loc.gov/ontologies/bibframe/Layout
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Lccn	http://id.loc.gov/ontologies/bibframe/Lccn
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/LcOverseasAcq	http://id.loc.gov/ontologies/bibframe/LcOverseasAcq
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Local	http://id.loc.gov/ontologies/bibframe/Local
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Manuscript	http://id.loc.gov/ontologies/bibframe/Manuscript
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MatrixNumber	http://id.loc.gov/ontologies/bibframe/MatrixNumber
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MixedMaterial	http://id.loc.gov/ontologies/bibframe/MixedMaterial
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Mount	http://id.loc.gov/ontologies/bibframe/Mount
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MovementNotation	http://id.loc.gov/ontologies/bibframe/MovementNotation
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MovingImage	http://id.loc.gov/ontologies/bibframe/MovingImage
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MusicDistributorNumber	http://id.loc.gov/ontologies/bibframe/MusicDistributorNumber
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MusicEnsemble	http://id.loc.gov/ontologies/bibframe/MusicEnsemble
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MusicFormat	http://id.loc.gov/ontologies/bibframe/MusicFormat
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MusicInstrument	http://id.loc.gov/ontologies/bibframe/MusicInstrument
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MusicMedium	http://id.loc.gov/ontologies/bibframe/MusicMedium
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MusicNotation	http://id.loc.gov/ontologies/bibframe/MusicNotation
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MusicPlate	http://id.loc.gov/ontologies/bibframe/MusicPlate
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MusicPublisherNumber	http://id.loc.gov/ontologies/bibframe/MusicPublisherNumber
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/MusicVoice	http://id.loc.gov/ontologies/bibframe/MusicVoice
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Nbn	http://id.loc.gov/ontologies/bibframe/Nbn
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/NotatedMovement	http://id.loc.gov/ontologies/bibframe/NotatedMovement
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/NotatedMusic	http://id.loc.gov/ontologies/bibframe/NotatedMusic
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Notation	http://id.loc.gov/ontologies/bibframe/Notation
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Object	http://id.loc.gov/ontologies/bibframe/Object
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/ObjectCount	http://id.loc.gov/ontologies/bibframe/ObjectCount
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/PlaybackChannels	http://id.loc.gov/ontologies/bibframe/PlaybackChannels
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/PlaybackCharacteristic	http://id.loc.gov/ontologies/bibframe/PlaybackCharacteristic
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/PlayingSpeed	http://id.loc.gov/ontologies/bibframe/PlayingSpeed
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Polarity	http://id.loc.gov/ontologies/bibframe/Polarity
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/PostalRegistration	http://id.loc.gov/ontologies/bibframe/PostalRegistration
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/PresentationFormat	http://id.loc.gov/ontologies/bibframe/PresentationFormat
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Print	http://id.loc.gov/ontologies/bibframe/Print
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/ProductionMethod	http://id.loc.gov/ontologies/bibframe/ProductionMethod
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/Projection	http://id.loc.gov/ontologies/bibframe/Projection
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/ProjectionCharacteristic	http://id.loc.gov/ontologies/bibframe/ProjectionCharacteristic
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/ProjectionSpeed	http://id.loc.gov/ontologies/bibframe/ProjectionSpeed
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/PublisherNumber	http://id.loc.gov/ontologies/bibframe/PublisherNumber
http://www.w3.org/2002/07/owl#Class	http://id.loc.gov/ontologies/bibframe/RecordingMedium	http://id.loc.gov/ontologies/bibframe/RecordingMedium
